ID	IUPAC_solid	SMILES_solid	IUPAC_anion	SMILES_anion	IUPAC_cation	SMILES_cation	Mole_fraction	Weight_fraction	Parts of Solvent	Temperature.K	logP_anion	Atom count_anion	Molecular weight_anion	molecular_anion	Aliphatic atom count_anion	Aromatic atom count_anion	Van der Waals surface area (3D)_anion	ASA_anion	donorcount_anion	acceptorcount_anion	Refractivity_anion	Bond count_anion	Smallest ring size_anion	Balaban index_anion	Rotatable bond count_anion	MMFF94 energy_anion	Fused ring count_anion	logP_cation	Atom count_cation	Molecular weight_cation	molecular_cation	Aliphatic atom count_cation	Aromatic atom count_cation	Van der Waals surface area (3D)_cation	ASA_cation	donorcount_cation	acceptorcount_cation	Refractivity_cation	Bond count_cation	Smallest ring size_cation	Balaban index_cation	Rotatable bond count_cation	MMFF94 energy_cation	Fused ring count_cation	logP_solid	Atom count_solid	Molecular weight_solid	molecular_solid	Aliphatic atom count_solid	Aromatic atom count_solid	Van der Waals surface area (3D)_solid	ASA_solid	donorcount_solid	acceptorcount_solid	Refractivity_solid	Bond count_solid	Smallest ring size_solid	Rotatable bond count_solid	Fused ring count_solid
D-glucose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.35K	D-glucose	[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.12708434229262	0.086980198231403	10.4968696362313	343.35	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.17	12	0	247.54	280.6	5	6	37.35	23	0	5	0
D-glucose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_333.3K	D-glucose	[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.102425950303636	0.0694838782108	13.391827654844	333.3	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.17	12	0	247.54	280.6	5	6	37.35	23	0	5	0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.25K	D-xylose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.093058820762178	0.052987487729683	17.8723799305514	323.25	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-2.94	20	150.13	13.45	10	0	211.24	261.75	4	5	31.38	19	0	4	0
D-glucose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.25K	D-glucose	[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.076455561633524	0.051387844961581	18.4598547720307	323.25	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.17	12	0	247.54	280.6	5	6	37.35	23	0	5	0
(+)-galactose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.4K	(+)-galactose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.072975653099469	0.048988383202106	19.4130027291249	353.4	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.12	12	0	249.55	275.87	5	6	37.35	23	0	5	0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.2K	D-xylose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.07285645179878	0.04109017519087	23.3367178493362	313.2	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-2.94	20	150.13	13.45	10	0	211.24	261.75	4	5	31.38	19	0	4	0
(+)-galactose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.35K	(+)-galactose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.056915483087017	0.03799088687527	25.3221020157589	343.35	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.12	12	0	249.55	275.87	5	6	37.35	23	0	5	0
D-glucose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.2K	D-glucose	[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.049111956792821	0.032692114721942	29.5884158460033	313.2	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.17	12	0	247.54	280.6	5	6	37.35	23	0	5	0
D-xylose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_303.15K	D-xylose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.050864144787969	0.028393121187803	34.2197982527392	303.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-2.94	20	150.13	13.45	10	0	211.24	261.75	4	5	31.38	19	0	4	0
D-glucose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_303.15K	D-glucose	[H]OC([H])([H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.036208923388897	0.023994160600485	40.6768069802695	303.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.17	12	0	247.54	280.6	5	6	37.35	23	0	5	0
(+)-galactose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_333.3K	(+)-galactose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.033226148993406	0.021994636250968	44.4656302832001	333.3	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.12	12	0	249.55	275.87	5	6	37.35	23	0	5	0
(+)-galactose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_323.25K	(+)-galactose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.030984979743797	0.020494994297298	47.792401963823	323.25	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.12	12	0	249.55	275.87	5	6	37.35	23	0	5	0
(+)-galactose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_313.2K	(+)-galactose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.021232539003	0.013996558791412	70.4461329318732	313.2	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.12	12	0	249.55	275.87	5	6	37.35	23	0	5	0
(+)-galactose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_303.15K	(+)-galactose	[H]OC([H])([H])[C@@]([H])(O[H])[C@]([H])(O[H])[C@]([H])(O[H])[C@@]([H])(O[H])C([H])=O	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.013382628543344	0.008797825549879	112.664449735966	303.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-3.57	24	180.156	16.12	12	0	249.55	275.87	5	6	37.35	23	0	5	0
D-sucrose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.15K	D-sucrose	[H]OC([H])([H])[C@]1([H])O[C@@](O[C@]2([H])O[C@@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[H])(C([H])([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.127999999989259	0.154335664626583	5.4793837666719	353.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-4.53	45	342.297	31.24	23	0	454.84	408.66	8	11	68.77	46	5	5	0
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_353.15K	D-cellobiose	[H]OC([H])([H])[C@@]1([H])OC([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.078999999992998	0.096368203288391	9.37686670371355	353.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-4.7	45	342.297	31.45	23	0	448.22	407.75	8	11	68.34	46	6	4	0
D-sucrose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.15K	D-sucrose	[H]OC([H])([H])[C@]1([H])O[C@@](O[C@]2([H])O[C@@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[H])(C([H])([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.061999999994403	0.075938905483701	12.1684805519699	343.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-4.53	45	342.297	31.24	23	0	454.84	408.66	8	11	68.77	46	5	5	0
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_343.15K	D-cellobiose	[H]OC([H])([H])[C@@]1([H])OC([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.047999999995603	0.058989351717313	15.9522120668856	343.15	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-4.7	45	342.297	31.45	23	0	448.22	407.75	8	11	68.34	46	6	4	0
D-cellobiose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_334.2K	D-cellobiose	[H]OC([H])([H])[C@@]1([H])OC([H])(O[C@@]2([H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]([H])(O[H])O[C@]2([H])C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.039999999996304	0.049252550380517	19.3035171229545	334.2	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-4.7	45	342.297	31.45	23	0	448.22	407.75	8	11	68.34	46	6	4	0
D-sucrose_tris(2-hydroxyethyl)_methylammonium_methylsulfate_334.2K	D-sucrose	[H]OC([H])([H])[C@]1([H])O[C@@](O[C@]2([H])O[C@@]([H])(C([H])([H])O[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]2([H])O[H])(C([H])([H])O[H])[C@]([H])(O[H])[C@@]1([H])O[H]	methylsulfate	[H]C([H])([H])OS([O-])(=O)=O	tris(2-hydroxyethyl)_methylammonium	[H]OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])C([H])([H])O[H])C([H])([H])C([H])([H])O[H]	0.03399999999684	0.041925279661297	22.8519577705556	334.2	-0.46	9	111.09	8.11	6	0	145.96	289.88	0	3	17.13	8	0	3.17	1	16.73	0	-6.04	29	164.224	18.29	11	0	306.84	326.19	3	3	54.78	28	0	3.79	6	112.51	0	-4.53	45	342.297	31.24	23	0	454.84	408.66	8	11	68.77	46	5	5	0
