ID,Classification,Temperature.K,logP_anion,Atom count_anion,Molecular weight_anion,molecular_anion,Aliphatic atom count_anion,Aromatic atom count_anion,Van der Waals surface area (3D)_anion,ASA_anion,donorcount_anion,acceptorcount_anion,Refractivity_anion,Bond count_anion,Smallest ring size_anion,Balaban index_anion,Rotatable bond count_anion,MMFF94 energy_anion,logP_cation,Atom count_cation,Molecular weight_cation,molecular_cation,Aliphatic atom count_cation,Aromatic atom count_cation,Van der Waals surface area (3D)_cation,ASA_cation,donorcount_cation,acceptorcount_cation,Refractivity_cation,Bond count_cation,Smallest ring size_cation,Balaban index_cation,Rotatable bond count_cation,MMFF94 energy_cation,logP_solid,Atom count_solid,Molecular weight_solid,molecular_solid,Aliphatic atom count_solid,Aromatic atom count_solid,Van der Waals surface area (3D)_solid,ASA_solid,donorcount_solid,acceptorcount_solid,Refractivity_solid,Bond count_solid,Smallest ring size_solid,Rotatable bond count_solid,Fused ring count_solid,class
dibenzothiophene_triisobutylmethylphosphonium_p-toluenesulfonate_353.15K,Soluble,353.15,1.67,18,171.19,16.09,5,6,239.71,372.98,0,3,40.6,18,6,2.18,1,139.07,4.11,44,217.356,27.65,14,0,470.95,486.7,0,0,68.78,43,0,4.32,6,28.91,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_triisobutylmethylphosphonium_p-toluenesulfonate_343.15K,Soluble,343.15,1.67,18,171.19,16.09,5,6,239.71,372.98,0,3,40.6,18,6,2.18,1,139.07,4.11,44,217.356,27.65,14,0,470.95,486.7,0,0,68.78,43,0,4.32,6,28.91,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_triisobutylmethylphosphonium_p-toluenesulfonate_333.15K,Soluble,333.15,1.67,18,171.19,16.09,5,6,239.71,372.98,0,3,40.6,18,6,2.18,1,139.07,4.11,44,217.356,27.65,14,0,470.95,486.7,0,0,68.78,43,0,4.32,6,28.91,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_triisobutylmethylphosphonium_p-toluenesulfonate_323.15K,Soluble,323.15,1.67,18,171.19,16.09,5,6,239.71,372.98,0,3,40.6,18,6,2.18,1,139.07,4.11,44,217.356,27.65,14,0,470.95,486.7,0,0,68.78,43,0,4.32,6,28.91,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_triisobutylmethylphosphonium_p-toluenesulfonate_313.15K,Soluble,313.15,1.67,18,171.19,16.09,5,6,239.71,372.98,0,3,40.6,18,6,2.18,1,139.07,4.11,44,217.356,27.65,14,0,470.95,486.7,0,0,68.78,43,0,4.32,6,28.91,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_triisobutylmethylphosphonium_p-toluenesulfonate_303.15K,Moderate Soluble,303.15,1.67,18,171.19,16.09,5,6,239.71,372.98,0,3,40.6,18,6,2.18,1,139.07,4.11,44,217.356,27.65,14,0,470.95,486.7,0,0,68.78,43,0,4.32,6,28.91,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,1
dibenzothiophene_trihexyl(tetradecyl)phosphonium_dicyanamide_353.15K,Soluble,353.15,-0.23,5,66.044,5.04,5,0,78.13,180.55,0,3,16.01,4,0,2.19,0,8.18,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_dicyanamide_343.15K,Soluble,343.15,-0.23,5,66.044,5.04,5,0,78.13,180.55,0,3,16.01,4,0,2.19,0,8.18,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_dicyanamide_333.15K,Soluble,333.15,-0.23,5,66.044,5.04,5,0,78.13,180.55,0,3,16.01,4,0,2.19,0,8.18,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_dicyanamide_323.15K,Soluble,323.15,-0.23,5,66.044,5.04,5,0,78.13,180.55,0,3,16.01,4,0,2.19,0,8.18,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_dicyanamide_313.15K,Soluble,313.15,-0.23,5,66.044,5.04,5,0,78.13,180.55,0,3,16.01,4,0,2.19,0,8.18,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_dicyanamide_303.15K,Moderate Soluble,303.15,-0.23,5,66.044,5.04,5,0,78.13,180.55,0,3,16.01,4,0,2.19,0,8.18,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,1
dibenzothiophene_trihexyl(tetradecyl)phosphonium_chloride_353.15K,Soluble,353.15,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_chloride_343.15K,Soluble,343.15,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_chloride_333.15K,Soluble,333.15,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_chloride_323.15K,Soluble,323.15,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_chloride_313.15K,Moderate Soluble,313.15,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,1
dibenzothiophene_trihexyl(tetradecyl)phosphonium_chloride_303.15K,Insoluble,303.15,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,2
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bromide_353.15K,Soluble,353.15,0.8,1,79.905,3.36,1,0,43.01,132.73,0,0,8.6,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bromide_343.15K,Soluble,343.15,0.8,1,79.905,3.36,1,0,43.01,132.73,0,0,8.6,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bromide_333.15K,Soluble,333.15,0.8,1,79.905,3.36,1,0,43.01,132.73,0,0,8.6,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bromide_323.15K,Soluble,323.15,0.8,1,79.905,3.36,1,0,43.01,132.73,0,0,8.6,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bromide_313.15K,Soluble,313.15,0.8,1,79.905,3.36,1,0,43.01,132.73,0,0,8.6,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bromide_303.15K,Moderate Soluble,303.15,0.8,1,79.905,3.36,1,0,43.01,132.73,0,0,8.6,0,0,0,0,0,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,1
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(trifluoromethylsulfonyl)imide_353.15K,Soluble,353.15,2.17,15,280.14,14.25,15,0,270.39,391.21,0,5,31.33,14,0,4.89,2,267.03,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(trifluoromethylsulfonyl)imide_343.15K,Soluble,343.15,2.17,15,280.14,14.25,15,0,270.39,391.21,0,5,31.33,14,0,4.89,2,267.03,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(trifluoromethylsulfonyl)imide_333.15K,Soluble,333.15,2.17,15,280.14,14.25,15,0,270.39,391.21,0,5,31.33,14,0,4.89,2,267.03,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(trifluoromethylsulfonyl)imide_323.15K,Soluble,323.15,2.17,15,280.14,14.25,15,0,270.39,391.21,0,5,31.33,14,0,4.89,2,267.03,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(trifluoromethylsulfonyl)imide_313.15K,Soluble,313.15,2.17,15,280.14,14.25,15,0,270.39,391.21,0,5,31.33,14,0,4.89,2,267.03,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(trifluoromethylsulfonyl)imide_303.15K,Soluble,303.15,2.17,15,280.14,14.25,15,0,270.39,391.21,0,5,31.33,14,0,4.89,2,267.03,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
"dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(2,4,4-trimethylpentyl)phosphinate_353.15K",Soluble,353.15,4.52,53,289.42,34.2,19,0,584.62,546.49,0,2,83.75,52,0,4.31,8,65.58,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
"dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(2,4,4-trimethylpentyl)phosphinate_343.15K",Soluble,343.15,4.52,53,289.42,34.2,19,0,584.62,546.49,0,2,83.75,52,0,4.31,8,65.58,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
"dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(2,4,4-trimethylpentyl)phosphinate_333.15K",Soluble,333.15,4.52,53,289.42,34.2,19,0,584.62,546.49,0,2,83.75,52,0,4.31,8,65.58,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
"dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(2,4,4-trimethylpentyl)phosphinate_323.15K",Soluble,323.15,4.52,53,289.42,34.2,19,0,584.62,546.49,0,2,83.75,52,0,4.31,8,65.58,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,0
"dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(2,4,4-trimethylpentyl)phosphinate_313.15K",Moderate Soluble,313.15,4.52,53,289.42,34.2,19,0,584.62,546.49,0,2,83.75,52,0,4.31,8,65.58,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,1
"dibenzothiophene_trihexyl(tetradecyl)phosphonium_bis(2,4,4-trimethylpentyl)phosphinate_303.15K",Insoluble,303.15,4.52,53,289.42,34.2,19,0,584.62,546.49,0,2,83.75,52,0,4.31,8,65.58,12.69,101,483.869,68.64,33,0,1055.78,1206.39,0,0,156.7,100,0,4.34,28,8.06,3.94,21,184.26,20.13,0,13,240.94,338.64,0,0,55.63,23,5,0,3,2
"xylitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_344.9K",Soluble,344.9,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.1,22,152.146,14.42,10,0,227.16,283.21,5,5,32.44,21,0,4,0,0
"D-sorbitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_344.4K",Soluble,344.4,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.73,26,182.172,17.12,12,0,265.31,300.46,6,6,38.4,25,0,5,0,0
"xylitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_338.8K",Soluble,338.8,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.1,22,152.146,14.42,10,0,227.16,283.21,5,5,32.44,21,0,4,0,0
"D-sorbitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_338.1K",Soluble,338.1,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.73,26,182.172,17.12,12,0,265.31,300.46,6,6,38.4,25,0,5,0,0
"D-sorbitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_328.1K",Soluble,328.1,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.73,26,182.172,17.12,12,0,265.31,300.46,6,6,38.4,25,0,5,0,0
"xylitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_328.7K",Soluble,328.7,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.1,22,152.146,14.42,10,0,227.16,283.21,5,5,32.44,21,0,4,0,0
"D-sorbitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_317.8K",Soluble,317.8,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.73,26,182.172,17.12,12,0,265.31,300.46,6,6,38.4,25,0,5,0,0
"xylitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_318K",Soluble,318,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.1,22,152.146,14.42,10,0,227.16,283.21,5,5,32.44,21,0,4,0,0
"D-sorbitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_308.1K",Soluble,308.1,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.73,26,182.172,17.12,12,0,265.31,300.46,6,6,38.4,25,0,5,0,0
"xylitol_N-methyl-N,N-dioctyl-1-octanaminium_nitrate_308K",Soluble,308,-2.57,4,62.005,3.28,4,0,75.03,211.05,0,3,8.35,3,0,2.32,0,11.53,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-3.1,22,152.146,14.42,10,0,227.16,283.21,5,5,32.44,21,0,4,0,0
"D-xylose_N-methyl-N,N-dioctyl-1-octanaminium_chloride_330K",Soluble,330,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
"D-xylose_N-methyl-N,N-dioctyl-1-octanaminium_chloride_318.9K",Soluble,318.9,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
"D-xylose_N-methyl-N,N-dioctyl-1-octanaminium_chloride_308.8K",Soluble,308.8,0.61,1,35.45,2.39,1,0,38.48,124.69,0,0,5.62,0,0,0,0,0,5.33,80,368.713,51.81,26,0,827.34,903.67,0,0,132.73,79,0,4.02,21,33.29,-2.94,20,150.13,13.45,10,0,211.24,261.75,4,5,31.38,19,0,4,0,0
